ds,dan,temp,r_hum,co_2,aqi_i,temp_e,r_hum_e,press,wind_s,wind_a,aqi_e
2021-01-19 16:00:00,2.0,29.240093333333334,39.027633333333334,1361.0559666666668,102.26734333333333,1.545,60.0,1022.0,0.51,0.0,177.66666666666666
2021-01-19 17:00:00,2.0,27.78442,37.16190333333333,840.8814000000001,104.38103333333333,-4.71,93.0,1022.0,0.51,0.0,100.66666666666667
2021-01-19 18:00:00,2.0,27.825103333333335,38.11665333333333,1365.9830000000002,104.52583333333332,-4.895,100.0,1022.0,1.03,0.0,216.66666666666666
2021-01-19 19:00:00,2.0,28.199036666666668,38.600386666666665,1632.4403333333332,103.27116666666666,-6.183333333333334,100.0,1022.0,0.8566666666666668,0.0,317.6666666666667
2021-01-19 20:00:00,2.0,28.344260000000002,38.52520333333333,1485.9156666666668,101.31216666666667,-7.0,100.0,1022.0,0.6833333333333332,0.0,239.0
2021-01-19 21:00:00,2.0,28.529659999999996,38.76347333333334,1613.6410000000003,100.35923666666667,-7.333333333333333,100.0,1022.0,1.03,0.0,203.0
2021-01-19 22:00:00,2.0,28.50044,38.416333333333334,1631.3133333333335,98.96218666666668,-8.666666666666666,100.0,1022.0,1.37,80.0,216.0
2021-01-19 23:00:00,2.0,27.257379999999998,37.551276666666666,1174.1303333333333,98.30377666666665,-8.5,100.0,1022.0,1.2850000000000001,60.0,145.0
2021-01-20 00:00:00,3.0,26.367213333333336,37.40208333333333,940.8368666666667,96.44752,-9.0,100.0,1022.0,1.54,120.0,66.33333333333333
2021-01-20 01:00:00,3.0,25.763673333333333,37.29343,816.8430666666667,94.29974333333332,-8.0,100.0,1022.0,1.8,60.0,128.66666666666666
2021-01-20 02:00:00,3.0,25.367603333333335,37.199796666666664,762.1799666666667,91.71306,-7.0,100.0,1022.0,2.06,0.0,61.333333333333336
2021-01-20 03:00:00,3.0,25.123990000000003,37.08904666666667,724.2838666666667,90.75277,-7.0,100.0,1021.0,1.03,0.0,56.333333333333336
2021-01-20 04:00:00,3.0,24.95123,36.990970000000004,694.6606666666667,90.67035666666668,-6.0,100.0,1021.0,1.03,0.0,53.666666666666664
2021-01-20 05:00:00,3.0,24.761643333333335,36.87469333333333,677.2952666666666,88.01633666666667,-5.0,100.0,1021.0,1.54,0.0,51.666666666666664
2021-01-20 06:00:00,3.0,24.639926666666668,37.02135333333333,701.3773000000001,88.42875,-5.0,100.0,1021.0,1.54,0.0,45.0
2021-01-20 07:00:00,3.0,25.516903333333335,36.928333333333335,1296.6409999999998,95.11808666666666,-6.0,100.0,1021.0,1.03,0.0,37.333333333333336
2021-01-20 08:00:00,3.0,26.654700000000005,35.833083333333335,4735.615333333333,98.83270666666665,-6.333333333333333,100.0,1022.0,0.6833333333333332,0.0,114.0
2021-01-20 09:00:00,3.0,27.70015666666666,37.197183333333335,5250.395666666667,112.06728666666667,-4.5,100.0,1022.0,1.545,0.0,88.0
2021-01-20 10:00:00,3.0,28.313026666666662,39.54293333333333,4920.717333333333,110.76469999999999,-0.6666666666666666,100.0,1023.0,0.8566666666666668,0.0,155.0
2021-01-20 11:00:00,3.0,28.547133333333335,39.48294333333334,4440.738666666667,102.3313,2.473333333333333,82.33333333333333,1022.6666666666666,1.2,0.0,160.0
2021-01-20 12:00:00,3.0,28.45875,39.00644,3415.795666666667,99.46141999999999,5.580000000000001,69.0,1021.6666666666666,1.37,0.0,157.66666666666666
